title,description,link,guid,pubDate,media
"Samsung, Oppo, Vivo stop smartphone production in India as govt announces COVID-19...","Ericsson, Nokia are still continuing with production at their Chennai and Pune factories ",https://www.hindustantimes.com/tech/samsung-oppo-vivo-stop-smartphone-production-in-india-as-govts-announce-covid-19-lockdowns/story-OpQvWRC5CsVvTlNMAzP4HI.html,https://www.hindustantimes.com/tech/samsung-oppo-vivo-stop-smartphone-production-in-india-as-govts-announce-covid-19-lockdowns/story-OpQvWRC5CsVvTlNMAzP4HI.html,"Sun, 22 Mar 2020 05:35:24 GMT ",https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/10/17/Pictures/inside-iphones-china-ambitious-push-outside-make_1fd883c2-f0e5-11e9-be9e-d0f913dac911.jpg
Coronavirus updates: Full list of 80 districts under complete lockdown due to C...,Seventy-five districts across 22 states and Union Territories where positive coronavirus cases have been reported will be under a complete lockdown till March 31.,https://www.hindustantimes.com/india-news/coronavirus-updates-full-list-of-75-districts-under-complete-lockdown-due-to-covid-19/story-0fe6csIo0NsLC6wKoEPwOM.html,https://www.hindustantimes.com/india-news/coronavirus-updates-full-list-of-75-districts-under-complete-lockdown-due-to-covid-19/story-0fe6csIo0NsLC6wKoEPwOM.html,"Sun, 22 Mar 2020 05:10:29 GMT ",https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/03/22/Pictures/india-virus-outbreak_685881d4-6c45-11ea-9fca-2c342717c29e.jpg
India enters partial lockdown: Top 5 things to keep in mind,Several states have announced total lockdown and several others have locked down certain areas most affected by Sars-Cov-2. It is therefore important to understand what it means for the residents.,https://www.hindustantimes.com/india-news/india-enters-partial-lockdown-top-5-things-to-keep-in-mind/story-I279g0LXu1jN1sQkZqXKUK.html,https://www.hindustantimes.com/india-news/india-enters-partial-lockdown-top-5-things-to-keep-in-mind/story-I279g0LXu1jN1sQkZqXKUK.html,"Sun, 22 Mar 2020 04:21:40 GMT ",https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/03/22/Pictures/_d4ac80fc-6c58-11ea-963c-5f43816952e0.jpg
"Coronavirus update: Covid-19 forces Delhi lockdown till March 31, borders to be...","Dairies, grocery shops, chemists and petrol pumps will remain open, Kejriwal said, adding that essential services including medical services will function. ",https://www.hindustantimes.com/india-news/coronavirus-update-covid-19-forces-delhi-lockdown-till-march-31-domestic-flights-cancelled/story-yqeNvY1YIVolsJsiJnbMsK.html,https://www.hindustantimes.com/india-news/coronavirus-update-covid-19-forces-delhi-lockdown-till-march-31-domestic-flights-cancelled/story-yqeNvY1YIVolsJsiJnbMsK.html,"Sun, 22 Mar 2020 02:36:48 GMT ",https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/03/22/Pictures/janta-bandh-corona_d04b5a16-6c3e-11ea-9fca-2c342717c29e.jpg
"Janta curfew: Deepika Padukone-Ranveer Singh, Kangana Ranaut hit balconies with...","Bollywood stars such as Deepika Padukone, Kangana Ranaut, Bhumi Pednekar and many others clapped and rung bells to thank those providing essential services during coronavirus pandemic.",https://www.hindustantimes.com/bollywood/janta-curfew-deepika-padukone-ranveer-singh-kangana-ranaut-hit-balconies-with-drums-plates-and-bells-watch/story-2eHZROGorMycdYPTJB362O.html,https://www.hindustantimes.com/bollywood/janta-curfew-deepika-padukone-ranveer-singh-kangana-ranaut-hit-balconies-with-drums-plates-and-bells-watch/story-2eHZROGorMycdYPTJB362O.html,"Sun, 22 Mar 2020 02:15:44 GMT ",https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/03/22/Pictures/_ead87044-6c34-11ea-9fca-2c342717c29e.JPG
"Janta Curfew: Mumbai never stops, they say. But have a look at these pictures","“’Mumbai never stops’, they say! Well, it’s not entirely true, though,” tweeted Mumbai’s Commissioner of Police, Shri Param Bir Singh.",https://www.hindustantimes.com/it-s-viral/janta-curfew-mumbai-never-stops-they-say-these-pics-prove-otherwise/story-otK9L7ICKwzhuP9pPsL8TK.html,https://www.hindustantimes.com/it-s-viral/janta-curfew-mumbai-never-stops-they-say-these-pics-prove-otherwise/story-otK9L7ICKwzhuP9pPsL8TK.html,"Sun, 22 Mar 2020 02:07:00 GMT ",https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/03/22/Pictures/_9195b1fc-6c27-11ea-9fca-2c342717c29e.jpg
India unites to applaud Covid-19 warriors from balconies amid janta curfew,,https://www.hindustantimes.com/videos/coronavirus-crisis/india-unites-to-applaud-covid-19-warriors-from-balconies-amid-janta-curfew/video-Ck77xYTAcwhBlrPjVI1e9N.html,https://www.hindustantimes.com/videos/coronavirus-crisis/india-unites-to-applaud-covid-19-warriors-from-balconies-amid-janta-curfew/video-Ck77xYTAcwhBlrPjVI1e9N.html,"Sun, 22 Mar 2020 01:37:45 GMT ",https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/03/22/Pictures/_1788b11e-6c42-11ea-9fca-2c342717c29e.jpg
'Virat Kohli is the best batsman in the world':&thinsp;West Indies legend lauds Indian...,"Speaking in an interview to Sportstar, Chanderpaul picked Kohli as the best batsman in the world. “Obviously, it’s Virat Kohli. He has been working on all the aspects of his game, and the results are showing,” he said.",https://www.hindustantimes.com/cricket/virat-kohli-is-the-best-batsman-in-the-world-west-indies-legend-lauds-indian-skipper/story-E2mUPrJQmKfzhHEM49ZVjK.html,https://www.hindustantimes.com/cricket/virat-kohli-is-the-best-batsman-in-the-world-west-indies-legend-lauds-indian-skipper/story-E2mUPrJQmKfzhHEM49ZVjK.html,"Sun, 22 Mar 2020 12:13:05 GMT ",https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/03/22/Pictures/ind-aus-3rd-odi-cricket-match_a2121f44-6c35-11ea-963c-5f43816952e0.jpg
Coronavirus outbreak: Politics in the times of a pandemic | HT&thinsp;Editorial,"Constructive criticism is good. Beyond that, it is time for unity",https://www.hindustantimes.com/editorials/politics-in-the-times-of-a-pandemic/story-Qk325IofFtuRZlF0F98GwI.html,https://www.hindustantimes.com/editorials/politics-in-the-times-of-a-pandemic/story-Qk325IofFtuRZlF0F98GwI.html,"Thu, 19 Mar 2020 11:29:40 GMT ",https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/03/19/Pictures/coronavirus-scare-in-hyderabad_0999f9e8-69ca-11ea-8a5c-cb364e4c5304.jpg
Dealing with the human condition,"Uncertainty is giving rise to anxiety, guilt, shame, panic. Respond better",https://www.hindustantimes.com/editorials/dealing-with-the-human-condition/story-0M6ImRe1QiN8psmSjWPmzL.html,https://www.hindustantimes.com/editorials/dealing-with-the-human-condition/story-0M6ImRe1QiN8psmSjWPmzL.html,"Thu, 19 Mar 2020 12:27:02 GMT ",https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/03/16/Pictures/precautions-for-coronavirus-outbreak-in-delhi_0a95df28-6769-11ea-9fca-2c342717c29e.jpg
